Session ID,UserID,ShowID,Datestamp,,,
SE1,6790065,s1428,2023-04-09,,,
SE2,2101816,s4887,2022-09-01,,,
SE3,1447097,s7192,2022-09-07,,,
SE4,6036880,s4182,2022-09-23,,,
SE5,5912042,s319,2020-05-27,,,
SE6,1039100,s7704,2023-03-01,,,
SE7,8800235,s6974,2021-11-06,,,
SE8,2904681,s1748,2022-12-28,,,
SE9,5840638,s3033,2023-04-04,,,
SE10,2412606,s1483,2023-03-31,,,
SE11,6442972,s7121,2023-04-18,,,
SE12,679915,s8621,2022-11-03,,,
SE13,5257528,s1675,2022-05-05,,,
SE14,4991902,s1974,2022-03-05,,,
SE15,5187898,s3431,2023-04-02,,,
SE16,7715348,s4763,2023-04-16,,,
SE17,5952800,s4013,2020-06-27,,,
SE18,1336824,s4121,2023-04-09,,,
SE19,9206821,s2874,2020-12-20,,,
SE20,2905668,s489,2022-04-14,,,
SE21,1245258,s7752,2023-04-04,,,
SE22,7136497,s822,2023-03-31,,,
SE23,1622075,s7869,2023-04-03,,,
SE24,8418489,s1692,2023-04-01,,,
SE25,1656362,s8015,2023-04-02,,,
SE26,764108,s5627,2019-08-17,,,
SE27,3922720,s1414,2022-09-04,,,
SE28,4951760,s6805,2021-08-14,,,
SE29,7110857,s7316,2022-05-17,,,
SE30,6731882,s2460,2020-06-27,,,
SE31,9202808,s2887,2023-03-26,,,
SE32,7419482,s7366,2023-03-24,,,
SE33,381174,s4925,2023-04-13,,,
SE34,4540699,s668,2023-04-10,,,
SE35,6226331,s420,2023-02-28,,,
SE36,4884057,s3873,2022-05-31,,,
SE37,5449225,s1375,2023-03-04,,,
SE38,6489754,s4765,2018-12-13,,,
SE39,871495,s3766,2023-03-10,,,
SE40,3250044,s780,2023-02-06,,,
SE41,8165760,s432,2023-04-20,,,
SE42,5995100,s1805,2023-03-21,,,
SE43,2245923,s124,2022-07-28,,,
SE44,9233924,s6083,2021-06-10,,,
SE45,1991894,s8199,2023-02-14,,,
SE46,7872431,s45,2022-09-03,,,
SE47,4856152,s3274,2021-12-04,,,
SE48,6636151,s349,2023-04-02,,,
SE49,5799465,s318,2023-02-09,,,
SE50,4813477,s7695,2023-01-13,,,
SE51,2897764,s312,2020-10-12,,,
SE52,4786186,s5542,2022-02-14,,,
SE53,7334647,s5637,2020-05-13,,,
SE54,4883073,s2785,2023-02-02,,,
SE55,7569812,s1338,2022-09-04,,,
SE56,9622350,s4883,2020-06-11,,,
SE57,1954650,s4134,2023-04-19,,,
SE58,6561541,s983,2021-10-21,,,
SE59,1515194,s7222,2021-11-02,,,
SE60,312425,s7405,2023-02-13,,,
SE61,8457161,s8112,2022-07-19,,,
SE62,4016181,s7997,2022-10-26,,,
SE63,5191679,s315,2023-01-24,,,
SE64,2137532,s8401,2023-04-06,,,
SE65,5872456,s84,2022-11-18,,,
SE66,4615105,s5513,2020-08-06,,,
SE67,6134476,s1983,2023-04-03,,,
SE68,3070863,s3164,2023-03-15,,,
SE69,1224739,s7744,2022-09-19,,,
SE70,6307530,s4497,2021-02-04,,,
SE71,1066149,s238,2022-04-11,,,
SE72,3254074,s7590,2016-11-12,,,
SE73,6236589,s1215,2023-04-06,,,
SE74,2232395,s7056,2023-01-26,,,
SE75,4270719,s1138,2023-03-26,,,
SE76,5586926,s273,2023-03-30,,,
SE77,3936454,s1024,2022-11-13,,,
SE78,1084171,s1725,2023-03-17,,,
SE79,491035,s4978,2019-08-01,,,
SE80,7958133,s6535,2023-04-09,,,
SE81,2130521,s3400,2020-12-25,,,
SE82,4998295,s3007,2023-01-18,,,
SE83,7769662,s7390,2022-12-26,,,
SE84,1659694,s8584,2023-04-16,,,
SE85,1732236,s2848,2022-07-09,,,
SE86,2761839,s2455,2023-03-08,,,
SE87,5397046,s5527,2023-04-10,,,
SE88,1495958,s2169,2023-04-01,,,
SE89,376820,s922,2023-02-08,,,
SE90,1620708,s6515,2023-04-17,,,
SE91,7414067,s5065,2023-03-11,,,
SE92,9608923,s8524,2019-06-08,,,
SE93,9238600,s7343,2022-10-23,,,
SE94,1634862,s3408,2020-08-29,,,
SE95,9504435,s2671,2022-10-09,,,
SE96,3018559,s4810,2023-04-20,,,
SE97,5751222,s413,2023-04-12,,,
SE98,6473062,s1471,2023-04-17,,,
SE99,6737814,s6072,2018-09-04,,,
SE100,8409799,s1938,2023-04-01,,,
SE101,4956277,s6469,2023-03-26,,,
SE102,166957,s2904,2021-06-02,,,
SE103,7573412,s7333,2020-03-03,,,
SE104,5992626,s7568,2023-03-13,,,
SE105,4831903,s3778,2023-04-14,,,
SE106,400886,s7734,2020-09-25,,,
SE107,6806251,s241,2023-04-02,,,
SE108,5864716,s5277,2023-04-13,,,
SE109,3253050,s8632,2023-04-09,,,
SE110,3586334,s3026,2023-04-16,,,
SE111,9735898,s6940,2023-02-13,,,
SE112,59266,s3966,2022-10-23,,,
SE113,6662130,s5947,2023-03-01,,,
SE114,8195330,s5205,2023-04-07,,,
SE115,9850070,s2285,2023-03-29,,,
SE116,9068814,s1699,2023-04-11,,,
SE117,9686246,s7386,2023-02-03,,,
SE118,5426967,s4538,2023-03-31,,,
SE119,448952,s2164,2023-04-18,,,
SE120,4621334,s3464,2023-02-09,,,
SE121,3767596,s2328,2023-04-16,,,
SE122,2394836,s7304,2022-11-14,,,
SE123,2030419,s3076,2023-02-20,,,
SE124,2509308,s999,2022-12-19,,,
SE125,1196566,s4600,2022-10-22,,,
SE126,369621,s6787,2023-03-20,,,
SE127,1028608,s7246,2023-01-30,,,
SE128,3389686,s7214,2020-07-01,,,
SE129,3389686,s2391,2022-01-15,,,
SE130,117379,s1734,2023-04-19,,,
SE131,5437242,s8463,2020-07-21,,,
SE132,1228024,s4995,2023-04-20,,,
SE133,8490160,s5159,2023-02-03,,,
SE134,5995100,s8433,2023-04-02,,,
SE135,7298378,s7053,2023-04-12,,,
SE136,8168991,s2900,2023-03-18,,,
SE137,3627443,s966,2023-01-31,,,
SE138,9567721,s1499,2022-11-14,,,
SE139,4801377,s6685,2023-03-19,,,
